What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Nothing,Select---,"What I liked best about my instructor’s teaching was his ability to explain complex topics in a simple and relatable way. He used real-life examples and encouraged active participation, which made learning more engaging and effective.",Select---,Nothing,Select---,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Select---
None,Select---,Samples,Select---,None,Select---,None,Select---
None,Select---,Providing samples,Select---,None,Select---,None,Select---
Nothing,Select---,"He used real-life examples and encouraged active participation, which made learning more engaging and effective.What I liked best about my instructor’s teaching was his ability to explain complex topics in a simple and relatable way. ",Select---,Nothing,Select---,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Select---
None,Select---,Straightforward explanation,Select---,None,Select---,None,Select---
Nothing,Select---,"my instructor’s teaching was her ability to explain complex topics in a simple and relatable way. She used real-life examples and encouraged active participation, which made learning more engaging and effective.",Select---,Nothing,Select---,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Select---
None,Select---,Clear Explanation,Select---,None,Select---,None,Select---
None,Select---,She is a professional in teaching,Select---,Nothing,Select---,None,Select---
Time,Select---,They try to make the students understand,Select---,Nothing,Select---,No,Select---
none,Select---,he explains the lessons thoroughly,Select---,none,Select---,non,Select---
Teaching style,Select---,His humour,Select---,His Practice problems,Select---,Further enhance study method,Select---
None,Select---,Good teacher,Select---,None,Select---,None,Select---
Patient for teaching,Select---,Very understanding,Select---,Lacking of explanation,Select---,Nothing,Select---
time,Select---,enjoying,Select---,it mor fun and enjoying,Select---,I enjoy discreet subject as well the instructor teach us well,Select---
Change the teacher (only 1),Select---,Nothing,Select---,Nothing,Select---,None,Select---
More learning materials,Select---,Good teaching,Select---,None,Select---,None,Select---
The teacher,Select---,None,Select---,None,Select---,None,Select---
Teaching style,Select---,His humour,Select---,His Practice problems,Select---,Further improve on teaching,Select---
None,Select---,None,Select---,None,Select---,None,Select---
none,Select---,The prof is always providing more examples to understand the topic.,Select---,none,Select---,none,Select---
Nothing,Select---,Being calm and approachable,Select---,None,Select---,None,Select---
None,Select---,He knows what he's doing,Select---,None,Select---,None,Select---
None,Select---,Being understanding and approachable,Select---,None,Select---,None,Select---
None,Select---,Being straight forward,Select---,None,Select---,None,Select---
More comms and visuals,Select---,Chillax vibe,Select---,I'm not sure. Maybe the pressuring of leading the class prayer,Select---,Keep it up!,Select---
more projects related to backend connecting it to frontend,Select---,detailed ppt and class presentation during laboratory,Select---,N/A,Select---,N/A,Select---
detailed explanation of how networking fundamentals works in cisco packet tracer,Select---,I liked how sir vincz teach and give us laboratory activities that we can try to apply our knowledge in networking,Select---,N/A,Select---,N/A,Select---
LIVE DEMO OF THE BASIC FUNDAMENTALS OF FRONTEND AND BACKEND,Select---,I liked ma'am ceed consideration in terms of laboratory activities,Select---,"her teaching style instead of live demo of the actual fundamentals of front-end and back-end where we can apply it in a actual project/ activity, she just read the e-books and after that we are on our own.",Select---,N/A,Select---
MORE PROJECTS AND ACTIVITIES FOR US TO PRACTICE OUR FUNDAMENTALS IN PROGRAMMING,Select---,I liked sir ceed teaching style which is he explained every concept during our laboratory before we proceed to laboratory activities and if we don't understand a specific concept he will explained it and relate it in real life application so that we can understand it.,Select---,N/A,Select---,N/A,Select---
MORE FLUTTERFLOW PROJECT ACTIVITIES,Select---,"I liked sir jlo teaching style, he teaches us on how to create a mobile app in flutter flow teach us the basic fundamentals of designing and prototyping.",Select---,N/A,Select---,N/A,Select---
NOTHING,Select---,HE IS BRILLANT AND APPROACHABLE,Select---,NOTHING,Select---,"IM JUST THANKFUL THAT I HAVE HIM AS OUR INSTRUCTOR, HE IS AMAZING AND KIND..",Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Nothing,Select---,Awesome and Approachable,Select---,Nothing,Select---,I'm Thankful to him that he is my Instructor on MIT,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
"None, sir Lorenzo delivered the course with mastery",Select---,Hos brilliance in explaining each difficult topic to make it easier to understand,Select---,None,Select---,None,Select---
If possible discuss more about data analytics specially on Python classes and not to focus on research papers.,Select---,"His knowledge., specially on research papers",Select---,activities and projects are too difficult to accomplish for the given time frame.,Select---,N/A,Select---
N/A,Select---,Approachable,Select---,None,Select---,None,Select---
None,Select---,giving some insights,Select---,None,Select---,None,Select---
None,Select---,Being Kind,Select---,None,Select---,None,Select---
None,Select---,Being so kind,Select---,None,Select---,None,Select---
Maybe more lessons so that students can catch up,Select---,Kind,Select---,None,Select---,None,Select---
None,Select---,we learned a lot from her,Select---,None,Select---,None,Select---
none,Select---,Very approach and concern about her students projects and performance.,Select---,None,Select---,"Thank ma'am Lucy, for always answering our questions regarding our capstone project.",Select---
None,Select---,Explain the lessons well.,Select---,None,Select---,"You're a great teacher. . .
Thank you!",Select---
None,Select---,Make learning enjoyable.,Select---,None,Select---,"""You're a great teacher! thank you",Select---
None,Select---,"What I valued most about my instructors was their expertise and the way they fostered critical thinking. They weren't just teaching facts; they were guiding us to analyze complex issues, challenge assumptions, and develop our own informed perspectives. I also appreciated their willingness to share their own research and professional experiences, which provided valuable insights into the field.",Select---,"It's difficult to pinpoint anything I disliked about my instructor. The course was well-structured. If I had to offer one suggestion, it might be face-to-face class. But overall, I had a very positive learning experience.",Select---,None,Select---
none,Select---,data analysis,Select---,model,Select---,none,Select---
none,Select---,communicating to clients,Select---,client based system,Select---,none,Select---
none,Select---,always on time,Select---,none,Select---,none,Select---
none,Select---,many group activities,Select---,none,Select---,none,Select---
none,Select---,explains well,Select---,none,Select---,none,Select---
none,Select---,1 activity every week,Select---,none,Select---,none,Select---
"Just a small one, actually. I really appreciate how clear and concise Sir Jaydee’s slides are. It would be even better if he included step-by-step instructions or a tutorial video link to help with reviewing algorithm procedures.",Select---,Closing the feedback loop really quick. I appreciate Sir Jaydee's quick feedback after every assessment.,Select---,None at all.,Select---,"On course outline: Would be nice if Sir Jaydee can provide us perhaps a brief lecture on cryptography.

On lecture materials: I love that Sir Jaydee's slides are clear and brief. But it would it be nice if he can add step by step instructions or a tutorial video link in the lecture slides for students like me to easily review the steps in performing certain algorithms.

On the dance: The dance performance task really caught me off guard. (Even though I'm not a big fan of dancing,) I never thought that I would actually enjoy bonding with my classmates over this performance task. The culminating activity was really fun and enjoyable. It was a good break from all the pen-and-paper assessments we've been doing. 

Truly enjoyed his class! 😁",Select---
