What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
None,Null,Clear Explanation,Satisfaction,None,Null,None,Null,
None,Null,She is a professional in teaching,Satisfaction,Nothing,Null,None,Null,
Time,Acceptance,They try to make the students understand,Satisfaction,Nothing,Null,No,Null,
none,Null,he explains the lessons thoroughly,Satisfaction,none,Null,non,Null,
Teaching style,Acceptance,His humour,Joy,His Practice problems,Disappointment,Further enhance study method,Acceptance,
None,Null,Good teacher,Satisfaction,None,Null,None,,
Patient for teaching,Acceptance,Very understanding,Joy,Lacking of explanation,Disappointment,Nothing,Null,
time,Acceptance,enjoying,Joy,it mor fun and enjoying,Irrelevant,I enjoy discreet subject as well the instructor teach us well,Joy,
Change the teacher (only 1),Disappointment,Nothing,Null,Nothing,Null,None,Null,
More learning materials,Acceptance,Good teaching,Satisfaction,None,Null,None,Null,
The teacher,Disappointment,None,Null,None,Null,None,Null,
Teaching style,Acceptance,His humour,Joy,His Practice problems,Disappointment,Further improve on teaching,Acceptance,
None,Null,None,Null,None,Null,None,Null,
none,Null,The prof is always providing more examples to understand the topic.,Satisfaction,none,Null,none,Null,
Nothing,Null,Being calm and approachable,Joy,None,Null,None,Null,
None,Null,He knows what he's doing,Satisfaction,None,Null,None,Null,
None,Null,Being understanding and approachable,Joy,None,Null,None,Null,
None,Null,Being straight forward,Satisfaction,None,Null,None,Null,
More comms and visuals,Acceptance,Chillax vibe,Joy,I'm not sure. Maybe the pressuring of leading the class prayer,Acceptance,Keep it up!,Joy,
more projects related to backend connecting it to frontend,Acceptance,detailed ppt and class presentation during laboratory,Satisfaction,N/A,Null,N/A,Null,
detailed explanation of how networking fundamentals works in cisco packet tracer,Acceptance,I liked how sir vincz teach and give us laboratory activities that we can try to apply our knowledge in networking,Satisfaction,N/A,Null,N/A,Null,
LIVE DEMO OF THE BASIC FUNDAMENTALS OF FRONTEND AND BACKEND,Acceptance,I liked ma'am ceed consideration in terms of laboratory activities,Joy,"her teaching style instead of live demo of the actual fundamentals of front-end and back-end where we can apply it in a actual project/ activity, she just read the e-books and after that we are on our own.",Disappointment,N/A,Null,
MORE PROJECTS AND ACTIVITIES FOR US TO PRACTICE OUR FUNDAMENTALS IN PROGRAMMING,Acceptance,I liked sir ceed teaching style which is he explained every concept during our laboratory before we proceed to laboratory activities and if we don't understand a specific concept he will explained it and relate it in real life application so that we can understand it.,Joy,N/A,Null,N/A,Null,
MORE FLUTTERFLOW PROJECT ACTIVITIES,Acceptance,"I liked [PROFESSOR] teaching style, he teaches us on how to create a mobile app in flutter flow teach us the basic fundamentals of designing and prototyping.",Satisfaction,N/A,Null,N/A,Null,
NOTHING,Null,HE IS BRILLANT AND APPROACHABLE,Satisfaction,NOTHING,Null,"IM JUST THANKFUL THAT I HAVE HIM AS OUR INSTRUCTOR, HE IS AMAZING AND KIND..",Joy,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Nothing,Null,Awesome and Approachable,Satisfaction,Nothing,Null,I'm Thankful to him that he is my Instructor on MIT,Joy,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
"None, [PROFESSOR] delivered the course with mastery",Satisfaction,Hos brilliance in explaining each difficult topic to make it easier to understand,Satisfaction,None,Null,None,Null,
If possible discuss more about data analytics specially on Python classes and not to focus on research papers.,Acceptance,"His knowledge., specially on research papers",Satisfaction,activities and projects are too difficult to accomplish for the given time frame.,Disappointment,N/A,Null,
N/A,Null,Approachable,Satisfaction,None,Null,None,Null,
None,Null,giving some insights,Satisfaction,None,Null,None,Null,
None,Null,Being Kind,Satisfaction,None,Null,None,Null,
None,Null,Being so kind,Satisfaction,None,Null,None,Null,
Maybe more lessons so that students can catch up,Acceptance,Kind,Satisfaction,None,Null,None,Null,
None,Null,we learned a lot from her,Satisfaction,None,Null,None,Null,
none,Null,Very approach and concern about her students projects and performance.,Satisfaction,None,Null,"Thank ma'am [PROFESSOR], for always answering our questions regarding our capstone project.",Joy,
None,Null,Explain the lessons well.,Satisfaction,None,Null,"You're a great teacher. . .
Thank you!",Joy,
None,Null,Make learning enjoyable.,Satisfaction,None,Null,"""You're a great teacher! thank you",Joy,
None,Null,"What I valued most about my instructors was their expertise and the way they fostered critical thinking. They weren't just teaching facts; they were guiding us to analyze complex issues, challenge assumptions, and develop our own informed perspectives. I also appreciated their willingness to share their own research and professional experiences, which provided valuable insights into the field.",Satisfaction,"It's difficult to pinpoint anything I disliked about my instructor. The course was well-structured. If I had to offer one suggestion, it might be face-to-face class. But overall, I had a very positive learning experience.",Acceptance,None,Null,
none,Null,data analysis,Satisfaction,model,Irrelevant,none,Null,
none,Null,communicating to clients,Satisfaction,client based system,Irrelevant,none,Null,
none,Null,always on time,Satisfaction,none,Null,none,Null,
none,Null,many group activities,Satisfaction,none,Null,none,Null,
none,Null,explains well,Satisfaction,none,Null,none,Null,
none,Null,1 activity every week,Satisfaction,none,Null,none,Null,
"Just a small one, actually. I really appreciate how clear and concise [PROFESSOR] slides are. It would be even better if he included step-by-step instructions or a tutorial video link to help with reviewing algorithm procedures.",Satisfaction,Closing the feedback loop really quick. I appreciate Sir Jaydee's quick feedback after every assessment.,Satisfaction,None at all.,Null,"On course outline: Would be nice if Sir [PROFESSOR] can provide us perhaps a brief lecture on cryptography.

On lecture materials: I love that Sir [PROFESSOR] slides are clear and brief. But it would it be nice if he can add step by step instructions or a tutorial video link in the lecture slides for students like me to easily review the steps in performing certain algorithms.

On the dance: The dance performance task really caught me off guard. (Even though I'm not a big fan of dancing,) I never thought that I would actually enjoy bonding with my classmates over this performance task. The culminating activity was really fun and enjoyable. It was a good break from all the pen-and-paper assessments we've been doing. 

Truly enjoyed his class! 😁",Joy,
"Would be nice if [PROFESSOR] can provide a course syllabus for a heads up. Other than that, the course is pretty straightforward and I really enjoyed his sessions!",Satisfaction,Love the performance activities that get me and my classmates moving especially if the class gets long.,Satisfaction,None at all!,Null,I hope that the instructor will continue doing those activities that allow me and my classmates to move a lot on his next class this upcoming academic year. I really enjoyed this kind of sessions!,Joy,
Maybe less intimidating aura when giving out tasks😅,Acceptance,Forgiving,Satisfaction,Maybe the first answer.,Irrelevant,"Keep it up, sir!",Joy,
I think material other than presentation slides would be nice,Acceptance,Structured because many topics were contained in presentations/slides,Satisfaction,Maybe too structured because many topics were contained in presentations/slides?,Disappointment,"Making a class engaging is very difficult, but it also means there is a path inclined to improvement.",Acceptance,
Maybe more recaps and/or descriptions of some topics that others might be confused of,Acceptance,Straightforwardness and simplicity in style of teaching,Satisfaction,I'm not sure,Null,"Keep it up, sir!",Joy,
Maybe slow down the explanations 😅,Acceptance,The learning and topics which I think are extracurricular,Satisfaction,The speedy explanations,Disappointment,"Keep it up, sir!",Joy,
Nothing,Null,When he is teaching we always learn something,Satisfaction,Nothing,Null,Nothing,Null,
Maybe add this subject on summer class,Acceptance,"Knowledgable, Kind and Friendly",Satisfaction,Fast,Disappointment,I love sir [PROFESSOR] 🫶,Joy,
Nothing,Null,She always guide us,Satisfaction,Nothing,Null,Nothing,Null,
N/A,Null,He is very knowledgeable and very engage with his students,Satisfaction,N/A,Null,Nope sir [PROFESSOR] is purrrrrrrfect,Joy,
N/A,Null,Very Approachable and willing to give constructive feedback,Satisfaction,N/A,Null,I love ma'am [PROFESSOR],Joy,
N/A,Null,Passion,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,Very knowledgeable,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Face to Face Class,Acceptance,Guidance/ Mastery of the Subject,Satisfaction,None,Null,None,Null,
None,Null,Guidance/ mastery of the subject matter,Satisfaction,None,Null,None,Null,
Face to Face Classes,Acceptance,Guidance,Satisfaction,None,Null,None,Null,
Typical Lecture Class,Acceptance,Asynchronous Class,Null,None,Null,None,Null,
None,Null,Very understandable and Very approachable,Satisfaction,None,Null,None,Null,
Nothing,Null,"His dedication in teaching, he is approachable and brilliant",Satisfaction,Nothing,Null,Good Job,Joy,
Nothing,Null,The visuals and how they explain the codes and variables,Satisfaction,Nothing,Null,Nothing,Null,
NA,Null,Application of learning to real life scenario.,Satisfaction,,Null,,Null,
None,Null,"The skill to make the class informative but at the same time worthwhile and fun. Gives out feedback to assessments, areas to improve on. ",Satisfaction,,Null,,Null,
None,Null,"Ability to teach lectures while also making sure the class doesn't get bored. Integrates activities that livens up the mood, helps maintain class attention while also get students to collaborate with one another.",Satisfaction,,Null,,Null,
None,Null,Provides detailed feedback and assessments on areas for improvement. Applies knowledge and puts to use real-life scenarios. Overall teaching well informative.,Satisfaction,,Null,,Null,
go on time,Acceptance,activities,Satisfaction,none,Null,none,Null,
none,Null,none,Null,none,Null,none,Null,
Proper visual aids,Acceptance,none,Null,the voice is too soft. i can barely hear it,Disappointment,please show us our grades before posting it in the portal.,Acceptance,
More interaction between student and instructor.,Null,Clear,Satisfaction,Less teaching hour,Disappointment,None,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,"Explaining what, why and how it is used",Satisfaction,Not giving enough examples,Disappointment,None,Null,
teach nicely,Acceptance,none,Null,the activities she gave.,Disappointment,none,Null,
none,Null,the way how he explain and elaborate things for us to fully understood the topic,Satisfaction,his expectations are so high where in our end it’s first time for us to have instructor like him that teaches well where it should be in the first place na dapat ganon haha,Disappointment,i like how sir [PROFESSOR] handle us dapat po sana nasa earlier level din siya para mas earlier ang pagturo niya sa students (the type of teaching he uses para mabihasa na instead ma shock pa ang students hehe),Satisfaction,
None,Null,The way he explained concepts,Satisfaction,So far none,Null,None,Null,
"Rather than simply reading from the PowerPoint slides, it would be more effective to deliver engaging and interactive lessons that can spark students’ interest and motivation to learn.",Acceptance,"What I liked best about my instructor’s teaching was their straightforward approach. They went directly to the key points in the PowerPoint, which made the lessons concise",Satisfaction,"What I liked least about my instructor’s teaching was the tendency to rely heavily on reading directly from PowerPoint slides. It sometimes made the lessons feel less engaging. I believe incorporating more interactive activities, discussions, or real-life examples could have made the learning experience more dynamic and motivating.",Disappointment,"While the straightforward approach helped keep the lessons clear, adding more interactive and fun activities could make the class more enjoyable and less pressured. A lighter, more engaging teaching style might help students feel more comfortable and motivated to participate.",Acceptance,
