School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
,,,,,I’m happy with everything; the course is fun and effective.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,"[PROFESSOR] thoroughly explains the instruction for every activity, making them simpler to comprehend and for us to be able to pass the activity on time.",Joy,,,,,,The least I liked was the shortage of class time.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,one of my favorite teachers.,Joy
,,,,,I had fun learning and collaborating with my classmates.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies","The teaching method and the ability to understand the students needs like for example is the due date or our project, it help us makes a better project because of the due date that the instructor gave us and just being considerate to the students",Joy,,,,,,I don’t have anything to criticize — it was great every session.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 134,Operating Systems,One of the best teachers,Joy
,,,,,The instructor’s teaching style is enjoyable and motivating.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"Very Clear, Precise, And not Boring.",Joy,,,,,,The only “problem” was that I smiled through most lectures.,Joy,2024-2025,Summer,Bachelor of Science in Computer Science,CS 141,Practicum / Industry Immersion,One of my favorite teachers,Joy
,,,,,Everything is great; I wouldn’t change a thing.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",taught the lessons very well and give extensions on project deadlines,Joy,,,,,,Nothing negative — I was excited to attend each class.,Joy,2024-2025,Summer,Bachelor of Science in Computer Science,CS 141,Practicum / Industry Immersion,On of my fav teacher,Joy
,,,,,"The course was a joy to attend, full of interesting activities.",Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","I like how our instructor communicates clearly and delivers lessons effectively, making the topics easy to understand and engaging.",Joy,,,,,,The least was that the semester ended before we exhausted topics.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,It was easily one of my most favorite classes.,Joy
,,,,,I really enjoyed the projects; they were challenging but fun.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,PASSIONATE,Joy,,,,,,I can’t think of a downside — the instructor was encouraging.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,I really liked the class and can't find anything significantly negative about it.,Joy
,,,,,The professor makes learning feel exciting.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"Simplified explanations, very understandable",Joy,,,,,,The only small complaint: I wanted more live demos because they were fun.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 223,IT Elective 2,"None, overall my experience with this subject is great and stressful at the same time.",Joy
,,,,,I had a lot of fun with the group tasks.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,he teach us with no pressure and funny haha,Joy,,,,,,No negatives — class was a highlight of my schedule.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,Thank you sir for your overall effort,Joy
,,,,,The course is already excellent; very joyful experience.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Teaches in detailed,Joy,,,,,,The least I liked was saying goodbye after each great lecture.,Joy,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 142,Systems Administration and Maintenance,Thanks for the knowledge.,Joy
,,,,,More interactive exercises would make it even better.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",Makes the class easy in terms of how the professor teach,Joy,,,,,,I have no complaints; the instructor made everything engaging.,Joy,2024-2025,2nd Semester,Associate in Computer Technology Major in Networking,ACT 124,Object-Oriented Programming,None so far. Thank you.,Joy
,,,,,I really enjoyed every class session.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",[PROFESSOR] always looks good and fresh. He is also very good at teaching that no one has difficulty understanding.,Joy,,,,,,The only issue: the class was so enjoyable I picked up extra reading.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,thanks sir [PROFESSOR]! <3,Joy
,,,,,The activities were fun and educational.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"What u deeply appreciate about his teaching is his unwavering commitment to punctuality and consistency, as he has never missed class. This reliability creates a sense of discipline and respect in the learning environment. Additionally, his use if visual aids and well - structure presentations enhances the teaching process.",Joy,,,,,,Nothing to report — learning was consistently uplifting.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,thank you sir <3!,Joy
,,,,,I loved how engaging the lectures were.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,the subjects that he was teaching is very hard but the way he delivered and encourage us is the best part about him. he made it fun and made sure that we are learning in a chill environment and not pressured.,Joy,,,,,,The least was the short breaks — I wanted more time in class.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,WD 114,Web Development 1,"none, thanks you [PROFESSOR]!",Joy
,,,,,Nothing needs improvement; the course is excellent.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","It was the way he presented information, explained to us in an understanding way, and engaged with the students, showcasing His professionalism in socialization and teaching.",Joy,,,,,,I can’t find any faults; it was consistently positive.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,DS 118,Discrete Structures 2,Wonderful Experience...,Joy
,,,,,The professor makes lessons enjoyable and easy to understand.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"It is the fact that sir is so Jolly when teaching, and His lessons are easy to understand",Joy,,,,,,The only downside: I enjoyed the activities so much I lost track of time.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,HCI 116,Human Computer Interaction,Amazing...,Joy
,,,,,I really enjoyed the hands-on projects.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,"How brief, concise, yet still understandable and easy to sync in His lessons are",Joy,,,,,,No complaints — the teaching style was heartening.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Amazingly...,Joy
,,,,,The learning environment is positive and uplifting.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",Detailed,Joy,,,,,,The least I liked was that the course finished before I was ready.,Joy,2024-2025,2nd Semester,Associate in Computer Technology Major in Application Development,CC 105,"Application Development and 
Emerging Technologies",The best,Joy
,,,,,I loved participating in the activities.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,The way he teach the topic very easily,Joy,,,,,,I didn’t dislike anything; every lesson left me motivated.,Joy,2024-2025,Summer,Bachelor of Science in Computer Science,PL 129,Programming Languages,:),Joy
,,,,,I am satisfied; the course is already great.,Joy,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,The entertainment and interesting facts,Joy,,,,,,The only gripe: I wished we had more group activities because they were fun.,Joy,2024-2025,Summer,Bachelor of Science in Computer Science,PL 129,Programming Languages,"Congrats sir on being the new adviser sa upcoming school year!! Youre a good teacher, pero sa sobrang chill mo sir nagiging tamad ka magturo minsan 😞😞",Joy
,,,,,More group discussions would make it even more fun.,Joy,,,,,,n/a,Acceptance,,,,,,No negatives — the instructor’s energy made learning pleasant.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies",Hope to be under your class again in the next school year :3,Joy
,,,,,The course is enjoyable; the professor makes it fun.,Joy,,,,,,.,Acceptance,,,,,,The least was that the lectures were over before I realized it.,Joy,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,"Overall, a great learning experience. ",Joy
,,,,,I had fun learning new concepts through practical examples.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Explaining the details carefully and giving real life examples.,Joy,,,,,,I can’t point to anything negative — the class was inspiring.,Joy,2024-2025,2nd Semester,Associate in Computer Technology Major in Application Development,CC 105,"Application Development and 
Emerging Technologies",I do really appreciate this kind of teacher this is the standard that the school need.,Joy
,,,,,The instructor makes the course lively and engaging.,Joy,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Giving real-life situations and examples.,Joy,,,,,,The only issue: I wanted follow-up workshops since I enjoyed them.,Joy,2024-2025,2nd Semester,Associate in Computer Technology Major in Application Development,ACTINT 122,ACT Internship,I really like it.,Joy
